series_id,slug_title,title
GP5HJ8EDW,big-windup,"""Big Windup!"""
GG5H5X0K0,bikini-warriors,"""Bikini Warriors"""
GNVHKN714,birdie-wing--golf-girls-story-,"""BIRDIE WING -Golf Girls' Story-"""
GYX05GE8R,black-blood-brothers,"""Black Blood Brothers"""
GYQ43P3E6,black-butler,"""Black Butler"""
GYWEQW20Y,black-cat,"""Black Cat"""
GRE50KV36,black-clover,"""Black Clover"""
GYW4D0M86,black-lagoon,"""Black Lagoon"""
GMEHME53W,black-rock-shooter,"""Black Rock Shooter"""
GVDHX8JJE,black-summoner,"""Black Summoner"""
GR24JJ086,blackfox,"""BLACKFOX"""
GRGG4VMER,blade-and-soul,"""Blade and Soul"""
GR09Z7W7R,blade-runner-black-out-2022,"""Blade Runner Black Out 2022"""
GZJH3DPK0,blade-runner-black-lotus,"""Blade Runner: Black Lotus"""
GYWEZ45QY,bladedance-of-elementalers,"""Bladedance of Elementalers"""
GRVNX903Y,blassreiter,"""BLASSREITER"""
G649GP1JY,blast-of-tempest,"""Blast of Tempest"""
GYJQ430W6,blend-s,"""BLEND-S"""
GRWEQEZER,blood-blockade-battlefront,"""Blood Blockade Battlefront"""
GR7527XMY,bloodivores,"""Bloodivores"""
G6MEX4N4R,bludgeoning-angel-dokuro-chan,"""Bludgeoning Angel Dokuro-chan"""
G649PJ0JY,blue-exorcist,"""Blue Exorcist"""
GQWH0M7XD,blue-reflection-ray,"""Blue Reflection Ray"""
GR79JXM06,blue-seed,"""Blue Seed"""
GRWEZ9XER,blue-spring-ride,"""Blue Spring Ride"""
GYZXDQQ36,blue-submarine-no-6,"""Blue Submarine No. 6"""
G4PH0WEKE,bluelock,"""BLUELOCK"""
GXJHM3P19,bocchi-the-rock,"""BOCCHI THE ROCK!"""
GKEH2G428,bofuri-i-dont-want-to-get-hurt-so-ill-max-out-my-defense,"""BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense."""
GYE5MPJ0R,boku-no-imoutowaosaka-okan,"""Boku-no-imoutowa""Osaka-okan"""""
GRWE288NR,bokurano,"""Bokurano"""
GYVN38JP6,bonjoursweet-love-patisserie,"""BONJOUR♪Sweet Love Patisserie"""
G675K0G3R,bono-bono,"""BONO BONO"""
GYJ0J3M06,boogiepop-and-others,"""Boogiepop and Others"""
GMEHMEN92,boogiepop-phantom,"""Boogiepop Phantom"""
GR75Q020Y,boruto-naruto-next-generations,"""BORUTO: NARUTO NEXT GENERATIONS"""
GDKHZEWP9,bottom-tier-character-tomozaki,"""Bottom-Tier Character Tomozaki"""
G3KHEV0Q1,brave-father-online---our-story-of-final-fantasy-xiv,"""Brave Father Online - Our Story of FINAL FANTASY XIV"""
GRMG1D55R,brave-witches,"""Brave Witches"""
G6JQ0M9WR,break-ups,"""Break Ups"""
G63VXEQNY,brothers-conflict,"""Brothers Conflict"""
G6WEMP106,brynhildr-in-the-darkness,"""Brynhildr in the Darkness"""
GYE5Z94VR,buddy-complex,"""Buddy Complex"""
GG5H5X3DE,buddy-daddies,"""Buddy Daddies"""
GG5H5XDE1,build-divide--000000--code-black,"""BUILD-DIVIDE -#000000- CODE BLACK"""
G24H1NW9J,bullbuster,"""BULLBUSTER"""
GXJHM377D,bungo-and-alchemist--gears-of-judgement-,"""Bungo and Alchemist -Gears of Judgement-"""
GR5VXQ8PR,bungo-stray-dogs,"""Bungo Stray Dogs"""
GMEHMEN75,bungo-stray-dogs-wan,"""Bungo Stray Dogs WAN!"""
G8DHV7478,bureau-of-paranormal-investigation,"""Bureau of Paranormal Investigation"""
GRPP77VJR,burn-the-witch,"""BURN THE WITCH"""
G9VHN9W5J,burning-kabaddi,"""Burning Kabaddi"""
GRK5VPPW6,burst-angel,"""Burst Angel"""
G79H23ZNP,butareba--the-story-of-a-man-turned-into-a-pig-,"""Butareba -The Story of a Man Turned into a Pig-"""
GRMEKQW4Y,butlers-x-battlers,"""Butlers X Battlers"""
GP5HJ85ED,by-the-grace-of-the-gods,"""By the Grace of the Gods"""
GRP58JGDR,c3-anime,"""C3 Anime"""
GYNVQ5PZR,calamity-of-a-zombie-girl,"""Calamity of a Zombie Girl"""
G6DK9M29R,caligula,"""Caligula"""
G6JQ1Q8WR,call-to-cosplay,"""Call to Cosplay"""
GG5H5X3EE,campfire-cooking-in-another-world-with-my-absurd-skill,"""Campfire Cooking in Another World with My Absurd Skill"""
GR19QV096,campione,"""Campione!"""
GRJQ0N70Y,canvas-2-niji-iro-no-sketch,"""Canvas 2: Niji Iro no Sketch"""
GYGGPD73Y,captain-harlock,"""Captain Harlock"""
G6QW7EZ96,captain-harlock-arcadia-of-my-youth,"""Captain Harlock: Arcadia of my Youth"""
GR5PD24QR,captain-harlock-arcadia-of-my-youth---endless-orbit-ssx,"""Captain Harlock: Arcadia of my Youth - Endless Orbit SSX"""
G4PH0WJDQ,captain-tsubasa-junior-youth-arc,"""Captain Tsubasa: Junior Youth Arc"""
GRNQP873R,cardcaptor-sakura,"""Cardcaptor Sakura"""
G6JQXP48R,cardcaptor-sakura-clear-card,"""Cardcaptor Sakura: Clear Card"""
GRXJ9X5EY,cardfight-vanguard,"""CARDFIGHT!! VANGUARD"""
G6P8PWMG6,cardfight-vanguard-asia-circuit-season-2,"""Cardfight!! Vanguard Asia Circuit (Season 2)"""
G6MGPKW46,cardfight-vanguard-g,"""Cardfight!! Vanguard G"""
GRE51VXX6,cardfight-vanguard-legion-mate-season-4,"""Cardfight!! Vanguard Legion Mate (Season 4)"""
GYX0M3V0R,cardfight-vanguard-link-joker-season-3,"""Cardfight!! Vanguard Link Joker (Season 3)"""
GXJHM3NJ5,cardfight-vanguard-overdress,"""CARDFIGHT!! VANGUARD overDress"""
G6JQVM3ER,case-closed-detective-conan,"""Case Closed (Detective Conan)"""
GG5H5X35K,case-file-n221-kabukicho,"""Case file n221: Kabukicho"""
GYNQEDGGY,casshern-sins,"""Casshern Sins"""
GXJHM3NMN,cat-girl-nuku-nuku,"""Cat Girl Nuku Nuku"""
GNVHKN78X,cautious-hero-the-hero-is-overpowered-but-overly-cautious,"""Cautious Hero: The Hero is Overpowered but Overly Cautious"""
GR3KVPQER,cells-at-work,"""Cells at Work!"""
GDKHZE13M,cells-at-work-code-black,"""Cells at Work! CODE BLACK"""
GY5VXG95Y,cerberus,"""Cerberus"""
G6E5KWN0Y,ceres-celestial-legend,"""Ceres, Celestial Legend"""
GZJH3D732,cestvs--the-roman-fighter-,"""CESTVS -The Roman Fighter-"""
GYZX2XE46,chaika-the-coffin-princess-,"""Chaika –The Coffin Princess-"""
GY8VQJM0Y,chain-chronicle---the-light-of-haecceitas--,"""Chain Chronicle - The Light of Haecceitas -"""
GVDHX8QNW,chainsaw-man,"""Chainsaw Man"""
G24H1NWV7,chainsaw-man-festival,"""Chainsaw Man Festival"""
GRZXQ1Z4Y,chance-pop-session,"""Chance Pop Session"""
G69PZV9VY,chaos-dragon,"""Chaos Dragon"""
GR497ZW36,chaoschild,"""CHAOS;CHILD"""
GR9P7K096,chaoshead,"""Chaos;HEAd"""
GR197N1G6,chargeman-ken,"""Chargeman Ken"""
GR09XQ3GR,charger-girl-ju-den-chan,"""Charger Girl Ju-den Chan"""
GYGG99WDY,charlotte,"""Charlotte"""
G69PM13DY,cheating-craft,"""Cheating Craft"""
GDKHZE1GP,cherry-magic-thirty-years-of-virginity-can-make-you-a-wizard,"""CHERRY MAGIC! THIRTY YEARS OF VIRGINITY CAN MAKE YOU A WIZARD?!"""
G6P819456,chis-sweet-home---chis-new-address,"""Chi's Sweet Home - Chi's New Address"""
GYGG57V3Y,chihayafuru,"""Chihayafuru"""
GR197V276,children-of-ether,"""Children of Ether"""
G79H23XWZ,chillin-in-my-30s-after-getting-fired-from-the-demon-kings-army,"""Chillin' in My 30s after Getting Fired from the Demon King's Army"""
GY1X93P7Y,chios-school-road,"""Chio's School Road"""
G6X02X3EY,chiruran-12,"""Chiruran 1/2"""
GYGGVPV8Y,chitose-get-you,"""Chitose Get You!"""
G9VHN97K8,chobits,"""Chobits"""
GRZX4PK4Y,chronicles-of-the-going-home-club,"""Chronicles of the Going Home Club"""
GYGGXP7EY,chrono-crusade,"""Chrono Crusade"""
GR2P942JR,chronos-ruler,"""CHRONOS RULER"""
G0XHWM45M,cinderella-chef,"""Cinderella Chef"""
GY5P48E7Y,cinderella-nine,"""Cinderella Nine"""
GY5V74MPY,citrus,"""citrus"""
G6P5M4156,city-hunter,"""City Hunter"""
GNVHKN9N3,classroom-for-heroes,"""CLASSROOM FOR HEROES"""
GRVN8MNQY,classroom-of-the-elite,"""Classroom of the Elite"""
GRMEKVG8Y,claymore,"""Claymore"""
GYNQZQ3XY,clean-freak-aoyama-kun,"""Clean Freak! Aoyama kun"""
G6WE4W0N6,clif,"""CLIF"""
GRWE1330R,clockwork-planet,"""Clockwork Planet"""
GY2P9ED0Y,code-geass,"""Code Geass"""
GR9P90D16,code-realize-guardian-of-rebirth,"""Code: Realize ~Guardian of Rebirth~"""
G0XHWM41M,codebreaker,"""Code:Breaker"""
GQWH0M98E,combatants-will-be-dispatched,"""Combatants Will Be Dispatched!"""
G64PVJGWR,comic-girls,"""Comic Girls"""
G79H23X42,comic-party-revolution,"""Comic Party Revolution"""
GR9P3EP36,comical-psychosomatic-medicine,"""Comical Psychosomatic Medicine"""
GR1XQ92VR,conception,"""Conception"""
GJ0H7Q8W3,concrete-revolutio,"""Concrete Revolutio"""
G6197910Y,convenience-store-boy-friends,"""Convenience Store Boy Friends"""
G4PH0WZ5E,cop-craft,"""Cop Craft"""
G8DHV78N3,copihan,"""Copihan"""
GKEH2GQJ5,corpse-princess-shikabane-hime,"""Corpse Princess: Shikabane Hime"""
G649MZM8Y,cosplay-complex-ova,"""Cosplay Complex OVA"""
GYVNXMVP6,cowboy-bebop,"""Cowboy Bebop"""
GYX0DW78R,coyote-ragtime-show,"""Coyote Ragtime Show"""
GVDHX8QXW,crest-of-the-stars,"""Crest of the Stars"""
G675N3ENR,cromartie-high-school,"""Cromartie High School"""
GR3K1E3DR,crossing-time,"""Crossing Time"""
GDKHZENQ0,crunchycast,"""Crunchycast"""
GYWE2G8JY,crunchyroll-collection,"""Crunchyroll Collection"""
G6JQ14Q2R,crunchyroll-convention-highlights,"""Crunchyroll Convention Highlights"""
G8DHV7W3N,cue,"""CUE!"""
GRZX20P8Y,cute-high-earth-defense-club-love,"""Cute High Earth Defense Club LOVE!"""
G8DHV7874,cyber-city-oedo-808,"""Cyber City Oedo 808"""
GNVHKN5XG,cyborg-009-the-cyborg-soldier,"""Cyborg 009: The Cyborg Soldier"""
GR8V02Q7R,d-frag,"""D-Frag!"""
G609GE8M6,dgray-man,"""D.Gray-man"""
G3KHEV032,d4dj-all-mix,"""D4DJ All Mix"""
GYGVN57EY,d4dj-first-mix,"""D4DJ First Mix"""
GXJHM3DZX,d_cide-traumerei-the-animation,"""D_CIDE TRAUMEREI THE ANIMATION"""
GYVNMW756,da-capo-iii,"""Da Capo III"""
GYDQN15K6,dagashi-kashi,"""Dagashi Kashi"""
G6JQVKE4R,dai-shogun---great-revolution,"""Dai-Shogun - Great Revolution"""
G6X0K0N7Y,daily-lives-of-high-school-boys,"""Daily Lives of High School Boys"""
G6QW9J2Z6,dakaichi--im-being-harassed-by-the-sexiest-man-of-the-year-,"""DAKAICHI -I'm being harassed by the sexiest man of the year-"""
GRWE24VNR,dallos,"""Dallos"""
G9VHN9P07,dance-dance-danseur,"""Dance Dance Danseur"""
G6QWGNN76,dance-in-the-vampire-bund,"""Dance in the Vampire Bund"""
GXJHM395E,dance-with-devils,"""Dance with Devils"""
GR1X4J00R,dances-with-the-dragons,"""Dances with the Dragons"""
GY8VX3X7Y,danchigai,"""Danchigai"""
GR3V5EK46,danganronpa-3-the-end-of-hopes-peak-high-school,"""Danganronpa 3: The End of Hope's Peak High School"""
GR75N43MY,danganronpa-the-animation,"""Danganronpa: The Animation"""
GY8VEQ95Y,darling-in-the-franxx,"""DARLING in the FRANXX"""
G61X24PZ6,darwins-game,"""Darwin's Game"""
GYEX5E1G6,date-a-live,"""Date A Live"""
GYX040PKR,days,"""DAYS"""
G63KN0DZ6,days-of-urashimasakatasen,"""Days of Urashimasakatasen"""
G68VMJ746,dd-fist-of-the-north-star,"""DD Fist of the North Star"""
G3KHEV04J,dead-mount-death-play,"""Dead Mount Death Play"""
GRX02EZ06,deadman-wonderland,"""Deadman Wonderland"""
GVDHX8Z77,deaimon-recipe-for-happiness,"""Deaimon: Recipe for Happiness"""
GRZXD528Y,dears,"""DearS"""
G6Q4WD3ER,death-bell-bloody-camp,"""Death Bell: Bloody Camp"""
G68VDQ776,death-kappa,"""Death Kappa"""
G6K50XJ7Y,death-march-to-the-parallel-world-rhapsody,"""Death March to the Parallel World Rhapsody"""
G6GGXKNE6,death-parade,"""Death Parade"""
GEXH3WK03,deca-dence,"""DECA-DENCE"""
G9VHN91K2,deep-insanity-the-lost-child,"""Deep Insanity THE LOST CHILD"""
GG5H5XE73,delicious-party-pretty-cure,"""Delicious Party Pretty Cure"""
G6P85JWG6,demian,"""DEMIAN"""
GRGG58V1R,demon-king-daimao,"""Demon King Daimao"""
GXJHM37KD,demon-lord-retry,"""Demon Lord, Retry!"""
GY5P48XEY,demon-slayer-kimetsu-no-yaiba,"""Demon Slayer: Kimetsu no Yaiba"""
G6NQVZ0Q6,demonbane,"""Demonbane"""
GYVN3Q136,denki-gai,"""DENKI-GAI"""
GR9P7MP06,desert-punk,"""Desert Punk"""
GYVNPX3D6,devil-may-cry,"""Devil May Cry"""
GMEHME8EZ,diary-of-our-days-at-the-breakwater,"""Diary of Our Days at the Breakwater"""
G679305JY,didnt-i-say-to-make-my-abilities-average-in-the-next-life,"""Didn't I say to make my abilities average in the next life"""
GRE50WD16,dies-irae,"""Dies irae"""
G6NQX5GZ6,digimon-adventure-tri,"""Digimon Adventure tri"""
GVDHX8Q3P,digimon-adventure-tri-films,"""Digimon Adventure tri. (Films)"""
GYEX24PV6,digimon-adventure-2020,"""Digimon Adventure: (2020)"""
G5PHNMEEZ,digimon-ghost-game,"""Digimon Ghost Game"""
GRDKJ3Q3Y,digimon-universe-app-monsters,"""Digimon Universe App Monsters"""
GY19X1M9R,digimon-xros-wars---the-young-hunters-who-leapt-through-time,"""Digimon Xros Wars - The Young Hunters Who Leapt Through Time"""
G6QW5X836,dimension-high-school,"""Dimension High School"""
G4PH0WE7E,dimension-w,"""Dimension W"""
GKEH2G8ZJ,dirty-pair,"""Dirty Pair"""
GY0XXX2P6,disgaea,"""Disgaea"""
GYZXDZGX6,divine-gate,"""Divine Gate"""
G6491E5ZY,dna2,"""DNA^2"""
GEXH3W4JP,do-it-yourself,"""Do It Yourself!!"""
G6J0EEP0R,do-you-love-your-mom-and-her-two-hit-multi-target-attacks,"""Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?"""
GR9PXEN46,dog--scissors,"""Dog & Scissors"""
G679D84KY,domestic-girlfriend,"""Domestic Girlfriend"""
GYPP7D7JY,dont-call-us-a-junk-game,"""Don't Call Us A JUNK GAME!"""
G3KHEV3NN,dont-hurt-me-my-healer,"""Don't Hurt Me, My Healer!"""
GQWH0M455,dont-toy-with-me-miss-nagatoro,"""DON'T TOY WITH ME, MISS NAGATORO"""
G5PHNM77K,donten-laughing-under-the-clouds---gaiden,"""Donten: Laughing Under The Clouds - Gaiden"""
GYVNEWNZ6,donyatsu,"""Donyatsu"""
GRJ00ZP4Y,double-decker-doug--kirill,"""DOUBLE DECKER! DOUG & KIRILL"""
GG5H5XK0J,dr-ramune--mysterious-disease-specialist-,"""Dr. Ramune -Mysterious Disease Specialist-"""
GYEXQKJG6,dr-stone,"""Dr. STONE"""
G8DHV7W21,dragon-ball,"""Dragon Ball"""
G4PH0WXXM,dragon-ball-gt,"""Dragon Ball GT"""
GQWH0M1GG,dragon-ball-movies,"""Dragon Ball Movies"""
GR19V7816,dragon-ball-super,"""Dragon Ball Super"""
G9VHN9PPW,dragon-ball-z,"""Dragon Ball Z"""
GYMGD32GY,dragon-collection,"""DRAGON COLLECTION"""
G6P85GMM6,dragon-crisis,"""Dragon Crisis"""
G4PH0WXD4,dragon-goes-house-hunting,"""Dragon Goes House-Hunting"""
